Model,Target Difficulty,Mean Reward,Std Reward,Median Reward,Min Reward,Max Reward,Mean Length,Success,Error
Upper Bound EASY,Easy,1740.864013671875,2.1182572841644287,1740.7646484375,1735.6199951171875,1745.8818359375,500.0,True,
Upper Bound MEDIUM,Medium,1645.287353515625,59.31757736206055,1631.988037109375,1564.5185546875,1791.215087890625,498.04,True,
Upper Bound HARD,Hard,1710.787841796875,40.61471939086914,1698.9931640625,1673.8818359375,1904.57958984375,500.0,True,
ADR Easy,Easy,1780.313232421875,9.398717880249023,1780.80810546875,1758.83740234375,1796.12939453125,500.0,True,
ADR Easy,Medium,567.532470703125,52.92082595825195,563.2384033203125,402.3650817871094,685.204345703125,171.1,True,
ADR Easy,Hard,383.2729797363281,18.73552703857422,386.5646057128906,344.597900390625,415.1186218261719,127.22,True,
ADR Medium,Easy,1581.985107421875,182.4337921142578,1612.958984375,325.18817138671875,1665.5411376953125,492.76,True,
ADR Medium,Medium,1500.4202880859375,16.09794044494629,1502.13623046875,1459.4239501953125,1533.35302734375,498.8,True,
ADR Medium,Hard,727.15673828125,140.86778259277344,678.8414306640625,607.3993530273438,1484.5650634765625,220.3,True,
ADR Hard,Easy,1430.5751953125,36.648109436035156,1436.707763671875,1327.59228515625,1499.084716796875,500.0,True,
ADR Hard,Medium,1476.1943359375,33.05382537841797,1482.6259765625,1373.627685546875,1548.7073974609375,500.0,True,
ADR Hard,Hard,1353.8887939453125,96.73451232910156,1372.2152099609375,757.9979858398438,1450.915283203125,492.96,True,
